sourcetype,offset_sec,vendor,_raw
oura:sleep_detail,0,oura,"{""day"":""__DAY__"",""type"":""long_sleep"",""total_sleep_duration"":25680,""time_in_bed"":28800,""awake_time"":2400,""deep_sleep_duration"":5400,""light_sleep_duration"":14880,""rem_sleep_duration"":4800,""latency"":900,""average_heart_rate"":54.2,""lowest_heart_rate"":48,""average_hrv"":42,""average_breath"":14.2,""efficiency"":88,""spo2_percentage_average"":96}"
oura:sleep,0,oura,"{""day"":""__DAY__"",""score"":82,""contributors"":{""deep_sleep"":90,""efficiency"":88,""latency"":70,""rem_sleep"":85,""restfulness"":77,""timing"":80,""total_sleep"":84}}"
oura:activity,0,oura,"{""day"":""__DAY__"",""steps"":8432,""equivalent_walking_distance"":6100,""active_calories"":520,""total_calories"":2170,""score"":85,""high_activity_time"":900,""medium_activity_time"":2100,""low_activity_time"":7200,""sedentary_time"":28800,""resting_time"":30000,""target_calories"":500,""target_meters"":8000,""inactivity_alerts"":2,""contributors"":{""meet_daily_targets"":80,""move_every_hour"":90,""recovery_time"":85,""stay_active"":75,""training_frequency"":70,""training_volume"":65}}"
oura:workouts,0,oura,"{""activity"":""running"",""start_datetime"":""__DAY__T07:00:00.000+0000"",""end_datetime"":""__DAY__T07:35:00.000+0000"",""calories"":340,""distance"":5200,""intensity"":""moderate"",""id"":""SAMPLE-WORKOUT""}"
oura:readiness,0,oura,"{""day"":""__DAY__"",""score"":78,""temperature_deviation"":0.2,""temperature_trend_deviation"":0.1,""contributors"":{""hrv_balance"":82,""body_temperature"":90,""resting_heart_rate"":85,""recovery_index"":88,""activity_balance"":80,""previous_day_activity"":75,""previous_night"":83,""sleep_balance"":86}}"
oura:spo2,0,oura,"{""day"":""__DAY__"",""spo2_percentage"":{""average"":96},""breathing_disturbance_index"":5}"
oura:cardio_age,0,oura,"{""day"":""__DAY__"",""vascular_age"":41,""pulse_wave_velocity"":7.2}"
oura:resilience,0,oura,"{""day"":""__DAY__"",""level"":""solid"",""contributors"":{""sleep_recovery"":80,""daytime_recovery"":70,""stress"":60}}"
oura:sleep_time,0,oura,"{""day"":""__DAY__"",""recommendation"":""earlier_bedtime"",""status"":""optimal""}"
oura:personal_info,0,oura,"{""day"":""__DAY__"",""age"":42,""biological_sex"":""male""}"
oura:battery,0,oura,"{""day"":""__DAY__"",""level"":75,""charging"":false,""in_charger"":false,""oura_user_id"":""SAMPLE001""}"
oura:ring_config,0,oura,"{""color"":""black"",""design"":""heritage"",""hardware_type"":""gen3"",""firmware_version"":""2.9.11"",""size"":10,""set_up_at"":""__DAY__T00:00:00+0000"",""oura_user_id"":""SAMPLE001""}"
oura:heart_rate,21600,oura,"{""bpm"":58}"
oura:heart_rate,28800,oura,"{""bpm"":66}"
oura:heart_rate,36000,oura,"{""bpm"":72}"
oura:heart_rate,43200,oura,"{""bpm"":84}"
oura:heart_rate,50400,oura,"{""bpm"":110}"
oura:heart_rate,57600,oura,"{""bpm"":95}"
oura:heart_rate,64800,oura,"{""bpm"":88}"
oura:heart_rate,72000,oura,"{""bpm"":74}"
oura:heart_rate,79200,oura,"{""bpm"":61}"
garmin:sleeps,0,garmin,"{""calendarDate"": ""__DAY__"", ""sleepTimeSeconds"": 25680, ""deepSleepSeconds"": 5400, ""lightSleepSeconds"": 14880, ""remSleepSeconds"": 4800, ""awakeSleepSeconds"": 600, ""napTimeSeconds"": 0, ""sleepScore"": 82, ""sleepStartTimestampGMT"": __SLEEP_START_MS__, ""sleepEndTimestampGMT"": __SLEEP_END_MS__}"
garmin:dailies,0,garmin,"{""calendarDate"":""__DAY__"",""totalSteps"":8432,""totalDistanceMeters"":6100,""activeKilocalories"":520,""bmrKilocalories"":1650,""totalKilocalories"":2170,""moderateIntensityMinutes"":35,""vigorousIntensityMinutes"":15,""dailyStepGoal"":10000,""restingHeartRate"":54,""minHeartRate"":48,""maxHeartRate"":148,""averageStressLevel"":38,""maxStressLevel"":82,""averageSpo2"":96,""lowestSpo2"":92,""bodyBatteryHighestValue"":88,""bodyBatteryLowestValue"":22,""bodyBatteryMostRecentValue"":61}"
garmin:stress,0,garmin,"{""calendarDate"":""__DAY__"",""avgStressLevel"":38,""maxStressLevel"":82}"
garmin:respiration,0,garmin,"{""calendarDate"":""__DAY__"",""avgSleepRespirationValue"":14.2,""avgWakingRespirationValue"":16.1,""lowestRespirationValue"":11.0,""highestRespirationValue"":20.0}"
garmin:hrv,0,garmin,"{""calendarDate"":""__DAY__"",""lastNightAvg"":42,""lastNight5MinHigh"":68,""weeklyAvg"":45,""status"":""BALANCED""}"
garmin:bodycomp,0,garmin,"{""calendarDate"": ""__DAY__"", ""weight"": 81200}"
garmin:usermetrics,0,garmin,"{""calendarDate"":""__DAY__"",""vo2Max"":44,""chronologicalAge"":62,""fitnessAge"":55}"
garmin:activities,0,garmin,"{""calendarDate"":""__DAY__"",""activityId"":""SAMPLE-RUN"",""activityName"":""Morning Run"",""activityType"":""running"",""startTimeGMT"":""__DAY__ 07:00:00"",""duration"":2100,""distance"":5200,""calories"":340,""averageHR"":142,""maxHR"":168}"
garmin:heart_rate,21600,garmin,"{""bpm"":58}"
garmin:heart_rate,28800,garmin,"{""bpm"":66}"
garmin:heart_rate,36000,garmin,"{""bpm"":72}"
garmin:heart_rate,43200,garmin,"{""bpm"":84}"
garmin:heart_rate,50400,garmin,"{""bpm"":110}"
garmin:heart_rate,57600,garmin,"{""bpm"":95}"
garmin:heart_rate,64800,garmin,"{""bpm"":88}"
garmin:heart_rate,72000,garmin,"{""bpm"":74}"
garmin:heart_rate,79200,garmin,"{""bpm"":61}"
withings:body,0,withings,"{""day"": ""__DAY__"", ""deviceid"": ""SAMPLEWBS01"", ""grpid"": ""SAMPLE-WBS-BODY"", ""modelid"": 13, ""weight"": 73.7, ""height"": 1.78, ""bmi"": 23.3, ""fat_ratio"": 20.0, ""fat_mass"": 14.7, ""fat_free_mass"": 59.0, ""heart_pulse"": 62, ""muscle_mass"": 55.9, ""bone_mass"": 3.1, ""hydration"": 42.5, ""visceral_fat"": 8, ""pulse_wave_velocity"": 7.5, ""vo2max"": 42.0}"
apple:bodycomp,0,hume,"{""day"": ""__DAY__"", ""hk_source"": ""Hume Health"", ""weight_kg"": 74.2, ""body_fat_pct"": 19.5, ""lean_mass_kg"": 59.7, ""bmi"": 23.4}"
garmin:devices,0,garmin,"{""calendarDate"": ""__DAY__"", ""deviceId"": ""SAMPLE123"", ""productDisplayName"": ""Garmin Forerunner 255 (SAMPLE)"", ""softwareVersion"": ""18.26"", ""partNumber"": ""006-B3956-00""}"
garmin:personinfo,0,garmin,"{""calendarDate"": ""__DAY__"", ""age"": 62}"
withings:activity,0,withings,"{""day"": ""__DAY__"", ""steps"": 9210, ""distance"": 6800, ""calories"": 540, ""totalcalories"": 2250, ""soft"": 7200, ""moderate"": 1800, ""intense"": 900, ""hr_average"": 72}"
withings:sleep,0,withings,"{""day"": ""__DAY__"", ""startdate"": __SLEEP_START_S__, ""enddate"": __SLEEP_END_S__, ""total_sleep_time"": 25680, ""total_timeinbed"": 28800, ""deepsleepduration"": 5400, ""lightsleepduration"": 14880, ""remsleepduration"": 4800, ""wakeupduration"": 720, ""durationtosleep"": 600, ""hr_average"": 56, ""hr_min"": 49, ""rr_average"": 15, ""sleep_score"": 80}"
withings:workouts,0,withings,"{""activity"": ""Cycling"", ""category"": 6, ""workout_id"": ""SAMPLE-WITHINGS-WK"", ""startdate"": __WK_START_S__, ""enddate"": __WK_END_S__, ""day"": ""__DAY__"", ""calories"": 320, ""distance"": 12000, ""hr_average"": 128}"
apple:medications,28800,apple,"{""medication_name"": ""Vitamin D3 2000IU Softgel"", ""status"": ""Taken"", ""dosage"": 2000, ""scheduled_dosage"": 2000, ""dosage_units"": ""IU"", ""scheduled_time"": __MED_TIME_S__, ""is_archived"": false, ""day"": ""__DAY__"", ""_vendor"": ""apple""}"
apple:medications,72000,apple,"{""medication_name"": ""Lisinopril 10mg Tablet"", ""status"": ""Skipped"", ""dosage"": 0, ""scheduled_dosage"": 10, ""dosage_units"": ""mg"", ""scheduled_time"": __MED_TIME_S__, ""is_archived"": false, ""day"": ""__DAY__"", ""_vendor"": ""apple""}"
apple:medications,50400,apple,"{""medication_name"": ""Aspirin 81mg Tablet"", ""status"": ""Taken"", ""dosage"": 81, ""dosage_units"": ""mg"", ""day"": ""__DAY__"", ""_vendor"": ""apple""}"
apple:heart_notification,36000,apple,"{""alert_type"": ""high"", ""peak_hr"": 138, ""threshold"": 120, ""duration_s"": 300, ""day"": ""__DAY__"", ""_vendor"": ""apple""}"
apple:heart_notification,13200,apple,"{""alert_type"": ""low"", ""peak_hr"": 37, ""threshold"": 40, ""duration_s"": 300, ""day"": ""__DAY__"", ""_vendor"": ""apple""}"
apple:heart_notification,50520,apple,"{""alert_type"": ""irregular"", ""peak_hr"": 88, ""avg_hrv"": 62, ""duration_s"": 300, ""day"": ""__DAY__"", ""_vendor"": ""apple""}"
apple:activity,0,apple,"{""steps"": 8200, ""distance_m"": 6100, ""active_calories"": 480, ""basal_calories"": 1650, ""active_min"": 42, ""floors"": 9, ""day"": ""__DAY__"", ""_vendor"": ""apple""}"
apple:daily,0,apple,"{""resting_hr"": 56, ""hrv_avg"": 44, ""respiration_avg"": 14.5, ""spo2_avg"": 97, ""skin_temp"": 33.2, ""walking_hr_avg"": 92, ""vo2max"": 41.5, ""day"": ""__DAY__"", ""_vendor"": ""apple""}"
apple:sleep,25200,apple,"{""total_sleep_min"": 428.0, ""deep_min"": 90.0, ""rem_min"": 80.0, ""light_min"": 248.0, ""awake_min"": 30.0, ""time_in_bed_min"": 480.0, ""efficiency_pct"": 89.2, ""day"": ""__DAY__"", ""sleep_type"": ""long_sleep"", ""hk_source"": ""Narwhal Ultra 2"", ""_vendor"": ""apple""}"
apple:workout,25200,apple,"{""workout_activity"": ""Running"", ""workout_id"": ""SAMPLE-APPLE-WK"", ""day"": ""__DAY__"", ""hk_source"": ""Narwhal Ultra 2"", ""_vendor"": ""apple"", ""workout_start_epoch"": __WK_START_S__, ""workout_end_epoch"": __WK_END_S__, ""workout_duration_min"": 35.0, ""workout_calories"": 340.0, ""workout_active_calories"": 310.0, ""workout_avg_hr"": 142, ""workout_max_hr"": 168, ""workout_distance_m"": 5200.0}"
apple:heartrate,21600,apple,"{""bpm"": 58, ""day"": ""__DAY__"", ""hk_source"": ""Narwhal Ultra 2"", ""_vendor"": ""apple""}"
apple:heartrate,36000,apple,"{""bpm"": 84, ""day"": ""__DAY__"", ""hk_source"": ""Narwhal Ultra 2"", ""_vendor"": ""apple""}"
apple:heartrate,50400,apple,"{""bpm"": 118, ""day"": ""__DAY__"", ""hk_source"": ""Narwhal Ultra 2"", ""_vendor"": ""apple""}"
apple:heartrate,64800,apple,"{""bpm"": 96, ""day"": ""__DAY__"", ""hk_source"": ""Narwhal Ultra 2"", ""_vendor"": ""apple""}"
apple:heartrate,79200,apple,"{""bpm"": 66, ""day"": ""__DAY__"", ""hk_source"": ""Narwhal Ultra 2"", ""_vendor"": ""apple""}"
apple:extra,0,apple,"{""metric"": ""apple_stand_time"", ""units"": ""min"", ""count"": 12, ""sum"": 144, ""avg"": 12.0, ""min"": 1, ""max"": 20, ""day"": ""__DAY__"", ""_vendor"": ""apple""}"
garmin:pulseox,0,garmin,"{""averageSpO2"": 96, ""lowestSpO2"": 91, ""latestSpO2"": 97, ""calendarDate"": ""__DAY__""}"
withings:device,0,withings,"{""deviceid"": ""SAMPLEWBS01"", ""device_type"": 1, ""model"": ""Body Cardio"", ""model_id"": 55, ""battery"": ""high"", ""last_session_date"": __TIME_S__, ""first_session_date"": 1700000000, ""timezone"": ""America/New_York"", ""day"": ""__DAY__""}"
withings:segments,0,withings,"{""grpid"": ""SAMPLE-WBS-SEG"", ""deviceid"": ""SAMPLEWBS01"", ""modelid"": 55, ""day"": ""__DAY__"", ""position"": 12, ""segment"": ""trunk"", ""fat_free_mass_kg"": 28.4, ""fat_mass_kg"": 8.1, ""muscle_mass_kg"": 26.9}"
withings:segments,0,withings,"{""grpid"": ""SAMPLE-WBS-SEG"", ""deviceid"": ""SAMPLEWBS01"", ""modelid"": 55, ""day"": ""__DAY__"", ""position"": 2, ""segment"": ""arm_right"", ""fat_free_mass_kg"": 3.1, ""fat_mass_kg"": 0.9, ""muscle_mass_kg"": 2.9}"
withings:segments,0,withings,"{""grpid"": ""SAMPLE-WBS-SEG"", ""deviceid"": ""SAMPLEWBS01"", ""modelid"": 55, ""day"": ""__DAY__"", ""position"": 3, ""segment"": ""arm_left"", ""fat_free_mass_kg"": 3.0, ""fat_mass_kg"": 0.9, ""muscle_mass_kg"": 2.8}"
withings:segments,0,withings,"{""grpid"": ""SAMPLE-WBS-SEG"", ""deviceid"": ""SAMPLEWBS01"", ""modelid"": 55, ""day"": ""__DAY__"", ""position"": 10, ""segment"": ""leg_right"", ""fat_free_mass_kg"": 8.9, ""fat_mass_kg"": 2.1, ""muscle_mass_kg"": 8.4}"
